accountant
actor
actress
architect
astronomer
author
baker
bricklayer
butcher
carpenter
chef
cleaner
cook
dentist
designer
doctor
driver
dustman
electrician
engineer
factory worker
farmer
fire fighter
fireman
fireworker
fisherman
florist
gardener
goldsmith
hairdresser
journalist
judge
labourer
lawyer
lecturer
librarian
lifeguard
mason
mechanic
model
newsreader
nurse
optician
painter
pharmacist
photographer
pilot
plumber
policeman
policewoman
politician
postman
priest
real estate agent
receptionist
scientist
secretary
shop assistant
singer
soldier
tailor
taxi driver
teacher
translator
travel agent
vet
veterinary doctor
waiter
waitress
cleaner
